,param,mean_square_error
135,"[0.0, 0.1, 0.6000000000000001, -0.19999999999999996, 0.6000000000000001]",0.5228081107199563
136,"[0.0, 0.1, 0.6000000000000001, -0.19999999999999996, 0.8]",0.5197004233724294
137,"[0.0, 0.1, 0.6000000000000001, -0.19999999999999996, 1.0]",0.5156276449575731
138,"[0.0, 0.1, 0.6000000000000001, 0.0, 0.0]",0.5289814707211263
139,"[0.0, 0.1, 0.6000000000000001, 0.0, 0.2]",0.5273352279910393
140,"[0.0, 0.1, 0.6000000000000001, 0.0, 0.4]",0.5247084054207811
141,"[0.0, 0.1, 0.6000000000000001, 0.0, 0.6000000000000001]",0.5215435663752752
142,"[0.0, 0.1, 0.6000000000000001, 0.0, 0.8]",0.5176445275804848
143,"[0.0, 0.1, 0.6000000000000001, 0.0, 1.0]",0.5126672109512547
144,"[0.0, 0.1, 0.8, -1.0, 0.0]",0.543156967327184
145,"[0.0, 0.1, 0.8, -1.0, 0.2]",0.5432912167516919
146,"[0.0, 0.1, 0.8, -1.0, 0.4]",0.5436664421615603
147,"[0.0, 0.1, 0.8, -1.0, 0.6000000000000001]",0.5438794060811184
148,"[0.0, 0.1, 0.8, -1.0, 0.8]",0.5434343497379835
149,"[0.0, 0.1, 0.8, -1.0, 1.0]",0.5421112748719625
150,"[0.0, 0.1, 0.8, -0.8, 0.0]",0.5446696799893374
151,"[0.0, 0.1, 0.8, -0.8, 0.2]",0.5448311198840254
152,"[0.0, 0.1, 0.8, -0.8, 0.4]",0.5451689964541132
153,"[0.0, 0.1, 0.8, -0.8, 0.6000000000000001]",0.5449870046460461
154,"[0.0, 0.1, 0.8, -0.8, 0.8]",0.5439209635824799
155,"[0.0, 0.1, 0.8, -0.8, 1.0]",0.5418506713743988
156,"[0.0, 0.1, 0.8, -0.6, 0.0]",0.5465339031315796
157,"[0.0, 0.1, 0.8, -0.6, 0.2]",0.5467128879283596
158,"[0.0, 0.1, 0.8, -0.6, 0.4]",0.5467733236537761
159,"[0.0, 0.1, 0.8, -0.6, 0.6000000000000001]",0.5458912988325525
160,"[0.0, 0.1, 0.8, -0.6, 0.8]",0.544009518588613
161,"[0.0, 0.1, 0.8, -0.6, 1.0]",0.5410423790051797
162,"[0.0, 0.1, 0.8, -0.3999999999999999, 0.0]",0.5488119620280387
163,"[0.0, 0.1, 0.8, -0.3999999999999999, 0.2]",0.548914090632582
164,"[0.0, 0.1, 0.8, -0.3999999999999999, 0.4]",0.5481914051514376
165,"[0.0, 0.1, 0.8, -0.3999999999999999, 0.6000000000000001]",0.5463237137011291
166,"[0.0, 0.1, 0.8, -0.3999999999999999, 0.8]",0.5434794805058507
167,"[0.0, 0.1, 0.8, -0.3999999999999999, 1.0]",0.5394900830370634
168,"[0.0, 0.1, 0.8, -0.19999999999999996, 0.0]",0.5514962102209316
169,"[0.0, 0.1, 0.8, -0.19999999999999996, 0.2]",0.5509979098394475
170,"[0.0, 0.1, 0.8, -0.19999999999999996, 0.4]",0.5489240376770663
171,"[0.0, 0.1, 0.8, -0.19999999999999996, 0.6000000000000001]",0.5459518959713534
172,"[0.0, 0.1, 0.8, -0.19999999999999996, 0.8]",0.5420808339509245
173,"[0.0, 0.1, 0.8, -0.19999999999999996, 1.0]",0.5369769086044623
174,"[0.0, 0.1, 0.8, 0.0, 0.0]",0.5537679497020569
175,"[0.0, 0.1, 0.8, 0.0, 0.2]",0.5516353903929414
176,"[0.0, 0.1, 0.8, 0.0, 0.4]",0.5483619259889279
177,"[0.0, 0.1, 0.8, 0.0, 0.6000000000000001]",0.5444255299385296
178,"[0.0, 0.1, 0.8, 0.0, 0.8]",0.5395530081934777
179,"[0.0, 0.1, 0.8, 0.0, 1.0]",0.5332767005582899
180,"[0.0, 0.1, 1.0, -1.0, 0.0]",0.5671660407267965
181,"[0.0, 0.1, 1.0, -1.0, 0.2]",0.5673267033887666
182,"[0.0, 0.1, 1.0, -1.0, 0.4]",0.5677775441166604
183,"[0.0, 0.1, 1.0, -1.0, 0.6000000000000001]",0.5680421973787833
184,"[0.0, 0.1, 1.0, -1.0, 0.8]",0.5675362734243812
185,"[0.0, 0.1, 1.0, -1.0, 1.0]",0.5660035769935419
186,"[0.0, 0.1, 1.0, -0.8, 0.0]",0.5689853707078744
187,"[0.0, 0.1, 1.0, -0.8, 0.2]",0.5691774102131752
188,"[0.0, 0.1, 1.0, -0.8, 0.4]",0.5695849079422973
189,"[0.0, 0.1, 1.0, -0.8, 0.6000000000000001]",0.5693842052770436
190,"[0.0, 0.1, 1.0, -0.8, 0.8]",0.5681491703238066
191,"[0.0, 0.1, 1.0, -0.8, 1.0]",0.5657398104976513
192,"[0.0, 0.1, 1.0, -0.6, 0.0]",0.5712157515935609
193,"[0.0, 0.1, 1.0, -0.6, 0.2]",0.5714291859644485
194,"[0.0, 0.1, 1.0, -0.6, 0.4]",0.5715121110823992
195,"[0.0, 0.1, 1.0, -0.6, 0.6000000000000001]",0.5704882799438853
196,"[0.0, 0.1, 1.0, -0.6, 0.8]",0.568296788266154
197,"[0.0, 0.1, 1.0, -0.6, 1.0]",0.5648340964677504
198,"[0.0, 0.1, 1.0, -0.3999999999999999, 0.0]",0.5739260900041336
199,"[0.0, 0.1, 1.0, -0.3999999999999999, 0.2]",0.5740575628904858
200,"[0.0, 0.1, 1.0, -0.3999999999999999, 0.4]",0.573219345399876
201,"[0.0, 0.1, 1.0, -0.3999999999999999, 0.6000000000000001]",0.5710393431072929
202,"[0.0, 0.1, 1.0, -0.3999999999999999, 0.8]",0.5677198132914983
203,"[0.0, 0.1, 1.0, -0.3999999999999999, 1.0]",0.563052884305517
204,"[0.0, 0.1, 1.0, -0.19999999999999996, 0.0]",0.5771186110650489
205,"[0.0, 0.1, 1.0, -0.19999999999999996, 0.2]",0.5765531722416107
206,"[0.0, 0.1, 1.0, -0.19999999999999996, 0.4]",0.5741204296678623
207,"[0.0, 0.1, 1.0, -0.19999999999999996, 0.6000000000000001]",0.5706478498480224
208,"[0.0, 0.1, 1.0, -0.19999999999999996, 0.8]",0.5661226174294341
209,"[0.0, 0.1, 1.0, -0.19999999999999996, 1.0]",0.5601346333928293
210,"[0.0, 0.1, 1.0, 0.0, 0.0]",0.5799202395262116
211,"[0.0, 0.1, 1.0, 0.0, 0.2]",0.5773395221135417
212,"[0.0, 0.1, 1.0, 0.0, 0.4]",0.573502016072674
213,"[0.0, 0.1, 1.0, 0.0, 0.6000000000000001]",0.5689014653882387
214,"[0.0, 0.1, 1.0, 0.0, 0.8]",0.5631930141945108
215,"[0.0, 0.1, 1.0, 0.0, 1.0]",0.5557999490291338
216,"[0.2, 0.1, 0.0, -1.0, 0.0]",0.49141814530905203
217,"[0.2, 0.1, 0.0, -1.0, 0.2]",0.491449950950687
218,"[0.2, 0.1, 0.0, -1.0, 0.4]",0.49154177294633866
219,"[0.2, 0.1, 0.0, -1.0, 0.6000000000000001]",0.49157993820116275
220,"[0.2, 0.1, 0.0, -1.0, 0.8]",0.4913987394234451
221,"[0.2, 0.1, 0.0, -1.0, 1.0]",0.4909193512360258
222,"[0.2, 0.1, 0.0, -0.8, 0.0]",0.4917790647215723
223,"[0.2, 0.1, 0.0, -0.8, 0.2]",0.49182071348583933
224,"[0.2, 0.1, 0.0, -0.8, 0.4]",0.4919104020453911
225,"[0.2, 0.1, 0.0, -0.8, 0.6000000000000001]",0.4918299077473423
226,"[0.2, 0.1, 0.0, -0.8, 0.8]",0.4914450856735428
227,"[0.2, 0.1, 0.0, -0.8, 1.0]",0.49071768388667636
228,"[0.2, 0.1, 0.0, -0.6, 0.0]",0.49225291862955656
229,"[0.2, 0.1, 0.0, -0.6, 0.2]",0.4923064260264006
230,"[0.2, 0.1, 0.0, -0.6, 0.4]",0.492322307162344
231,"[0.2, 0.1, 0.0, -0.6, 0.6000000000000001]",0.49201479520149227
232,"[0.2, 0.1, 0.0, -0.6, 0.8]",0.4913545233873766
233,"[0.2, 0.1, 0.0, -0.6, 1.0]",0.49033091161342385
234,"[0.2, 0.1, 0.0, -0.3999999999999999, 0.0]",0.4928810394074681
235,"[0.2, 0.1, 0.0, -0.3999999999999999, 0.2]",0.4929222517458972
236,"[0.2, 0.1, 0.0, -0.3999999999999999, 0.4]",0.49268872022113763
237,"[0.2, 0.1, 0.0, -0.3999999999999999, 0.6000000000000001]",0.49204214908796706
238,"[0.2, 0.1, 0.0, -0.3999999999999999, 0.8]",0.49105259950116453
239,"[0.2, 0.1, 0.0, -0.3999999999999999, 1.0]",0.4897011399762843
240,"[0.2, 0.1, 0.0, -0.19999999999999996, 0.0]",0.49370910241954014
241,"[0.2, 0.1, 0.0, -0.19999999999999996, 0.2]",0.4935433097135475
242,"[0.2, 0.1, 0.0, -0.19999999999999996, 0.4]",0.4928357399709035
243,"[0.2, 0.1, 0.0, -0.19999999999999996, 0.6000000000000001]",0.4917946425660783
244,"[0.2, 0.1, 0.0, -0.19999999999999996, 0.8]",0.49045943758308047
245,"[0.2, 0.1, 0.0, -0.19999999999999996, 1.0]",0.4887751160544274
246,"[0.2, 0.1, 0.0, 0.0, 0.0]",0.4943966382006799
247,"[0.2, 0.1, 0.0, 0.0, 0.2]",0.49370663201470777
248,"[0.2, 0.1, 0.0, 0.0, 0.4]",0.4925382701044971
249,"[0.2, 0.1, 0.0, 0.0, 0.6000000000000001]",0.49115321761677855
250,"[0.2, 0.1, 0.0, 0.0, 0.8]",0.4895042720111687
251,"[0.2, 0.1, 0.0, 0.0, 1.0]",0.48751797636766947
252,"[0.2, 0.1, 0.2, -1.0, 0.0]",0.4919112768071033
253,"[0.2, 0.1, 0.2, -1.0, 0.2]",0.491952270721124
254,"[0.2, 0.1, 0.2, -1.0, 0.4]",0.49206833206645073
255,"[0.2, 0.1, 0.2, -1.0, 0.6000000000000001]",0.49211608005975527
256,"[0.2, 0.1, 0.2, -1.0, 0.8]",0.4918974570843422
257,"[0.2, 0.1, 0.2, -1.0, 1.0]",0.49131908665683094
258,"[0.2, 0.1, 0.2, -0.8, 0.0]",0.4923729158274132
259,"[0.2, 0.1, 0.2, -0.8, 0.2]",0.49242533314931614
260,"[0.2, 0.1, 0.2, -0.8, 0.4]",0.4925336736095757
261,"[0.2, 0.1, 0.2, -0.8, 0.6000000000000001]",0.4924335484254796
262,"[0.2, 0.1, 0.2, -0.8, 0.8]",0.4919681765181317
263,"[0.2, 0.1, 0.2, -0.8, 1.0]",0.49109075229026583
264,"[0.2, 0.1, 0.2, -0.6, 0.0]",0.49296770338519863
265,"[0.2, 0.1, 0.2, -0.6, 0.2]",0.49303134573108626
266,"[0.2, 0.1, 0.2, -0.6, 0.4]",0.49304277551465536
267,"[0.2, 0.1, 0.2, -0.6, 0.6000000000000001]",0.4926677607442543
268,"[0.2, 0.1, 0.2, -0.6, 0.8]",0.4918723442908295
