,param,mean_square_error
304,"[0.20000000000000018, 1.5, 0.7000000000000001]",0.014987621651610297
305,"[0.20000000000000018, 1.5, 0.8]",0.015256424584023206
306,"[0.20000000000000018, 1.5, 0.9]",0.015536389877834261
307,"[0.20000000000000018, 1.5, 1.0]",0.015822062419452772
308,"[0.40000000000000013, 0.0, 0.0]",0.013713258830893651
309,"[0.40000000000000013, 0.0, 0.1]",0.013678255842898272
310,"[0.40000000000000013, 0.0, 0.2]",0.013684040713783973
311,"[0.40000000000000013, 0.0, 0.30000000000000004]",0.013752590355996545
312,"[0.40000000000000013, 0.0, 0.4]",0.01390849686566176
313,"[0.40000000000000013, 0.0, 0.5]",0.014151072263953728
314,"[0.40000000000000013, 0.0, 0.6000000000000001]",0.014460456362338052
315,"[0.40000000000000013, 0.0, 0.7000000000000001]",0.01481331567357222
316,"[0.40000000000000013, 0.0, 0.8]",0.015190216725754328
317,"[0.40000000000000013, 0.0, 0.9]",0.015577018468190762
318,"[0.40000000000000013, 0.0, 1.0]",0.01596410733885575
319,"[0.40000000000000013, 0.5, 0.0]",0.013818807043887141
320,"[0.40000000000000013, 0.5, 0.1]",0.013787772620669964
321,"[0.40000000000000013, 0.5, 0.2]",0.013801998827965505
322,"[0.40000000000000013, 0.5, 0.30000000000000004]",0.013876602991003803
323,"[0.40000000000000013, 0.5, 0.4]",0.014026413355194053
324,"[0.40000000000000013, 0.5, 0.5]",0.014248890319718
325,"[0.40000000000000013, 0.5, 0.6000000000000001]",0.014528475787190083
326,"[0.40000000000000013, 0.5, 0.7000000000000001]",0.014846896015645435
327,"[0.40000000000000013, 0.5, 0.8]",0.01518841525270348
328,"[0.40000000000000013, 0.5, 0.9]",0.015541107441016468
329,"[0.40000000000000013, 0.5, 1.0]",0.015896502816458723
330,"[0.40000000000000013, 1.0, 0.0]",0.013932715665640912
331,"[0.40000000000000013, 1.0, 0.1]",0.013904482751015261
332,"[0.40000000000000013, 1.0, 0.2]",0.013922884996010805
333,"[0.40000000000000013, 1.0, 0.30000000000000004]",0.013998170009542482
334,"[0.40000000000000013, 1.0, 0.4]",0.014139100478296494
335,"[0.40000000000000013, 1.0, 0.5]",0.014342245145824066
336,"[0.40000000000000013, 1.0, 0.6000000000000001]",0.01459510304390623
337,"[0.40000000000000013, 1.0, 0.7000000000000001]",0.014883066585616092
338,"[0.40000000000000013, 1.0, 0.8]",0.015193216310360453
339,"[0.40000000000000013, 1.0, 0.9]",0.015515414495460213
340,"[0.40000000000000013, 1.0, 1.0]",0.01584218372074804
341,"[0.40000000000000013, 1.5, 0.0]",0.014048004690857423
